Start Time: 2024年 12月 06日 星期五 15:52:54 CST
/mnt/sda/zxt/3_code_area/code_develop/PartialConv_AesFA/log/dunhuanglog.txt
cuda: cuda:1
Version: dunhuang
content dir: /mnt/sda/Dataset/Detection/COCO/train2017
style dir: /mnt/sda/Dataset/style_image/dunhuang_style/crop_256/origin
Train:  60000 images:  7500 x 8 (batch size) = 60000
# of parameter: 19147951
parameters of networks: {'netE': 3323008, 'netS': 6645888, 'netG': 5673315, 'vgg_loss': 3505740}
Tot_itrs: 58/160000 | Epoch: 1 | itr: 58/7500 | Loss_G: 13269721294045184.00000
Tot_itrs: 59/160000 | Epoch: 1 | itr: 59/7500 | Loss_G: 40931759885385728.00000
Tot_itrs: 60/160000 | Epoch: 1 | itr: 60/7500 | Loss_G: 1901517313409024.00000
Tot_itrs: 61/160000 | Epoch: 1 | itr: 61/7500 | Loss_G: 6266900061356032.00000
Tot_itrs: 62/160000 | Epoch: 1 | itr: 62/7500 | Loss_G: 15632106851926016.00000
Tot_itrs: 63/160000 | Epoch: 1 | itr: 63/7500 | Loss_G: 2253033274605568.00000
Tot_itrs: 64/160000 | Epoch: 1 | itr: 64/7500 | Loss_G: 12461943172366336.00000
Tot_itrs: 65/160000 | Epoch: 1 | itr: 65/7500 | Loss_G: 5410149648826368.00000
Tot_itrs: 66/160000 | Epoch: 1 | itr: 66/7500 | Loss_G: 2081470000660480.00000
Tot_itrs: 67/160000 | Epoch: 1 | itr: 67/7500 | Loss_G: 19825088001998848.00000
Tot_itrs: 68/160000 | Epoch: 1 | itr: 68/7500 | Loss_G: 1808218946797568.00000
Tot_itrs: 69/160000 | Epoch: 1 | itr: 69/7500 | Loss_G: 32199292508700672.00000
Tot_itrs: 70/160000 | Epoch: 1 | itr: 70/7500 | Loss_G: 4299436746342400.00000
Tot_itrs: 71/160000 | Epoch: 1 | itr: 71/7500 | Loss_G: 13344876779274240.00000
Tot_itrs: 72/160000 | Epoch: 1 | itr: 72/7500 | Loss_G: 2766136642895872.00000
Tot_itrs: 73/160000 | Epoch: 1 | itr: 73/7500 | Loss_G: 791521871790080.00000
Tot_itrs: 74/160000 | Epoch: 1 | itr: 74/7500 | Loss_G: 22859707882405888.00000
Tot_itrs: 75/160000 | Epoch: 1 | itr: 75/7500 | Loss_G: 979531850579968.00000
Tot_itrs: 76/160000 | Epoch: 1 | itr: 76/7500 | Loss_G: 777502159011840.00000
Tot_itrs: 77/160000 | Epoch: 1 | itr: 77/7500 | Loss_G: 2280612870225920.00000
Tot_itrs: 78/160000 | Epoch: 1 | itr: 78/7500 | Loss_G: 6233361198612480.00000
