/mnt/sda/zxt/3_code_area/code_develop/PartialConv_AesFA/log/occupylog.txt
cuda: cuda:0
Version: occupy
train mode
content dir: /mnt/sda/Datasets/Detection/COCO/train2017
style dir: /mnt/sda/Datasets/style_image/AlphaStyle/alpha_WikiArt_AllInOne2
Train:  60000 images:  7500 x 8 (batch size) = 60000
# of parameter: 19147951
parameters of networks: {'netE': 3323008, 'netS': 6645888, 'netG': 5673315, 'vgg_loss': 3505740}
Tot_itrs: 62/800000 | Epoch: 1 | itr: 62/7500 | Loss_G: 311165376.00000
Tot_itrs: 63/800000 | Epoch: 1 | itr: 63/7500 | Loss_G: 701236672.00000
Tot_itrs: 64/800000 | Epoch: 1 | itr: 64/7500 | Loss_G: 11139246.00000
Tot_itrs: 65/800000 | Epoch: 1 | itr: 65/7500 | Loss_G: 67509976.00000
Tot_itrs: 66/800000 | Epoch: 1 | itr: 66/7500 | Loss_G: 803354304.00000
Tot_itrs: 67/800000 | Epoch: 1 | itr: 67/7500 | Loss_G: 735401088.00000
Tot_itrs: 68/800000 | Epoch: 1 | itr: 68/7500 | Loss_G: 126712664.00000
Tot_itrs: 69/800000 | Epoch: 1 | itr: 69/7500 | Loss_G: 275780704.00000
Tot_itrs: 70/800000 | Epoch: 1 | itr: 70/7500 | Loss_G: 1420619776.00000
Tot_itrs: 71/800000 | Epoch: 1 | itr: 71/7500 | Loss_G: 222547248.00000
Tot_itrs: 72/800000 | Epoch: 1 | itr: 72/7500 | Loss_G: 779849152.00000
Tot_itrs: 73/800000 | Epoch: 1 | itr: 73/7500 | Loss_G: 128871336.00000
Tot_itrs: 74/800000 | Epoch: 1 | itr: 74/7500 | Loss_G: 464221920.00000
Tot_itrs: 75/800000 | Epoch: 1 | itr: 75/7500 | Loss_G: 186528016.00000
Tot_itrs: 76/800000 | Epoch: 1 | itr: 76/7500 | Loss_G: 75123256.00000
Tot_itrs: 77/800000 | Epoch: 1 | itr: 77/7500 | Loss_G: 327953952.00000
Tot_itrs: 78/800000 | Epoch: 1 | itr: 78/7500 | Loss_G: 59512520.00000
Tot_itrs: 79/800000 | Epoch: 1 | itr: 79/7500 | Loss_G: 14601659.00000
Tot_itrs: 80/800000 | Epoch: 1 | itr: 80/7500 | Loss_G: 127645016.00000
Tot_itrs: 81/800000 | Epoch: 1 | itr: 81/7500 | Loss_G: 715193408.00000
Tot_itrs: 82/800000 | Epoch: 1 | itr: 82/7500 | Loss_G: 358105696.00000
Tot_itrs: 83/800000 | Epoch: 1 | itr: 83/7500 | Loss_G: 668449152.00000
Tot_itrs: 84/800000 | Epoch: 1 | itr: 84/7500 | Loss_G: 98264976.00000
Tot_itrs: 85/800000 | Epoch: 1 | itr: 85/7500 | Loss_G: 306655776.00000
Tot_itrs: 86/800000 | Epoch: 1 | itr: 86/7500 | Loss_G: 474955168.00000
Tot_itrs: 87/800000 | Epoch: 1 | itr: 87/7500 | Loss_G: 14371550.00000
Tot_itrs: 88/800000 | Epoch: 1 | itr: 88/7500 | Loss_G: 245006512.00000
Tot_itrs: 89/800000 | Epoch: 1 | itr: 89/7500 | Loss_G: 156651104.00000
Tot_itrs: 90/800000 | Epoch: 1 | itr: 90/7500 | Loss_G: 4539150.50000
Tot_itrs: 91/800000 | Epoch: 1 | itr: 91/7500 | Loss_G: 16868612.00000
Tot_itrs: 92/800000 | Epoch: 1 | itr: 92/7500 | Loss_G: 73982104.00000
Tot_itrs: 93/800000 | Epoch: 1 | itr: 93/7500 | Loss_G: 43740504.00000
Tot_itrs: 94/800000 | Epoch: 1 | itr: 94/7500 | Loss_G: 284511904.00000
Tot_itrs: 95/800000 | Epoch: 1 | itr: 95/7500 | Loss_G: 504712384.00000
Tot_itrs: 96/800000 | Epoch: 1 | itr: 96/7500 | Loss_G: 124320920.00000
Tot_itrs: 97/800000 | Epoch: 1 | itr: 97/7500 | Loss_G: 151481536.00000
Tot_itrs: 98/800000 | Epoch: 1 | itr: 98/7500 | Loss_G: 142431648.00000
Tot_itrs: 99/800000 | Epoch: 1 | itr: 99/7500 | Loss_G: 99654696.00000
Tot_itrs: 100/800000 | Epoch: 1 | itr: 100/7500 | Loss_G: 49933268.00000
Tot_itrs: 101/800000 | Epoch: 1 | itr: 101/7500 | Loss_G: 297916992.00000
Tot_itrs: 102/800000 | Epoch: 1 | itr: 102/7500 | Loss_G: 770460096.00000
Tot_itrs: 103/800000 | Epoch: 1 | itr: 103/7500 | Loss_G: 261323264.00000
Tot_itrs: 104/800000 | Epoch: 1 | itr: 104/7500 | Loss_G: 100514944.00000
Tot_itrs: 105/800000 | Epoch: 1 | itr: 105/7500 | Loss_G: 23912798.00000
Tot_itrs: 106/800000 | Epoch: 1 | itr: 106/7500 | Loss_G: 366957024.00000
Tot_itrs: 107/800000 | Epoch: 1 | itr: 107/7500 | Loss_G: 351922656.00000
Tot_itrs: 108/800000 | Epoch: 1 | itr: 108/7500 | Loss_G: 150390176.00000
Tot_itrs: 109/800000 | Epoch: 1 | itr: 109/7500 | Loss_G: 24208326.00000
Tot_itrs: 110/800000 | Epoch: 1 | itr: 110/7500 | Loss_G: 18469372.00000
Tot_itrs: 111/800000 | Epoch: 1 | itr: 111/7500 | Loss_G: 11554040.00000
Tot_itrs: 112/800000 | Epoch: 1 | itr: 112/7500 | Loss_G: 880424320.00000
Tot_itrs: 113/800000 | Epoch: 1 | itr: 113/7500 | Loss_G: 59473608.00000
Tot_itrs: 114/800000 | Epoch: 1 | itr: 114/7500 | Loss_G: 42981972.00000
Tot_itrs: 115/800000 | Epoch: 1 | itr: 115/7500 | Loss_G: 25721000.00000
Tot_itrs: 116/800000 | Epoch: 1 | itr: 116/7500 | Loss_G: 387610464.00000
Tot_itrs: 117/800000 | Epoch: 1 | itr: 117/7500 | Loss_G: 156722032.00000
Tot_itrs: 118/800000 | Epoch: 1 | itr: 118/7500 | Loss_G: 59196152.00000
Tot_itrs: 119/800000 | Epoch: 1 | itr: 119/7500 | Loss_G: 96845640.00000
Tot_itrs: 120/800000 | Epoch: 1 | itr: 120/7500 | Loss_G: 223934016.00000
Tot_itrs: 121/800000 | Epoch: 1 | itr: 121/7500 | Loss_G: 18075420.00000
