/mnt/sda/zxt/3_code_area/code_develop/PartialConv_AesFA/log/SoftPartialConv_limited-low_lrlog.txt
cuda: cuda:1
Version: SoftPartialConv_limited-low_lr
train mode
content dir: /mnt/sda/Datasets/Detection/COCO/train2017
style dir: /mnt/sda/Datasets/style_image/AlphaStyle/alpha_WikiArt_AllInOne2/train_alpha
Train:  60000 images:  7500 x 8 (batch size) = 60000
# of parameter: 19147951
parameters of networks: {'netE': 3323008, 'netS': 6645888, 'netG': 5673315, 'vgg_loss': 3505740}
Tot_itrs: 64/160000 | Epoch: 1 | itr: 64/7500 | Loss_G: 209.15369
Tot_itrs: 65/160000 | Epoch: 1 | itr: 65/7500 | Loss_G: 257.64175
Tot_itrs: 66/160000 | Epoch: 1 | itr: 66/7500 | Loss_G: 205.96469
Tot_itrs: 67/160000 | Epoch: 1 | itr: 67/7500 | Loss_G: 194.90117
Tot_itrs: 68/160000 | Epoch: 1 | itr: 68/7500 | Loss_G: 348.77679
Tot_itrs: 69/160000 | Epoch: 1 | itr: 69/7500 | Loss_G: 288.14398
Tot_itrs: 70/160000 | Epoch: 1 | itr: 70/7500 | Loss_G: 232.58456
Tot_itrs: 71/160000 | Epoch: 1 | itr: 71/7500 | Loss_G: 366.71881
Tot_itrs: 72/160000 | Epoch: 1 | itr: 72/7500 | Loss_G: 235.21992
Tot_itrs: 73/160000 | Epoch: 1 | itr: 73/7500 | Loss_G: 158.42091
Tot_itrs: 74/160000 | Epoch: 1 | itr: 74/7500 | Loss_G: 212.22441
Tot_itrs: 75/160000 | Epoch: 1 | itr: 75/7500 | Loss_G: 225.35600
Tot_itrs: 76/160000 | Epoch: 1 | itr: 76/7500 | Loss_G: 260.05072
Tot_itrs: 77/160000 | Epoch: 1 | itr: 77/7500 | Loss_G: 228.02744
Tot_itrs: 78/160000 | Epoch: 1 | itr: 78/7500 | Loss_G: 225.98157
Tot_itrs: 79/160000 | Epoch: 1 | itr: 79/7500 | Loss_G: 191.82826
Tot_itrs: 80/160000 | Epoch: 1 | itr: 80/7500 | Loss_G: 233.20503
Tot_itrs: 81/160000 | Epoch: 1 | itr: 81/7500 | Loss_G: 266.01950
Tot_itrs: 82/160000 | Epoch: 1 | itr: 82/7500 | Loss_G: 307.84631
Tot_itrs: 83/160000 | Epoch: 1 | itr: 83/7500 | Loss_G: 222.41510
Tot_itrs: 84/160000 | Epoch: 1 | itr: 84/7500 | Loss_G: 224.09291
Tot_itrs: 85/160000 | Epoch: 1 | itr: 85/7500 | Loss_G: 347.04657
Tot_itrs: 86/160000 | Epoch: 1 | itr: 86/7500 | Loss_G: 271.62671
Tot_itrs: 87/160000 | Epoch: 1 | itr: 87/7500 | Loss_G: 328.54593
Tot_itrs: 88/160000 | Epoch: 1 | itr: 88/7500 | Loss_G: 221.95877
Tot_itrs: 89/160000 | Epoch: 1 | itr: 89/7500 | Loss_G: 198.09756
Tot_itrs: 90/160000 | Epoch: 1 | itr: 90/7500 | Loss_G: 301.17715
Tot_itrs: 91/160000 | Epoch: 1 | itr: 91/7500 | Loss_G: 234.04454
Tot_itrs: 92/160000 | Epoch: 1 | itr: 92/7500 | Loss_G: 240.09241
Tot_itrs: 93/160000 | Epoch: 1 | itr: 93/7500 | Loss_G: 223.37442
Tot_itrs: 94/160000 | Epoch: 1 | itr: 94/7500 | Loss_G: 441.23657
Tot_itrs: 95/160000 | Epoch: 1 | itr: 95/7500 | Loss_G: 329.61642
Tot_itrs: 96/160000 | Epoch: 1 | itr: 96/7500 | Loss_G: 260.46552
Tot_itrs: 97/160000 | Epoch: 1 | itr: 97/7500 | Loss_G: 261.63809
Tot_itrs: 98/160000 | Epoch: 1 | itr: 98/7500 | Loss_G: 207.11879
Tot_itrs: 99/160000 | Epoch: 1 | itr: 99/7500 | Loss_G: 201.92882
Tot_itrs: 100/160000 | Epoch: 1 | itr: 100/7500 | Loss_G: 263.45547
Tot_itrs: 101/160000 | Epoch: 1 | itr: 101/7500 | Loss_G: 161.16100
Tot_itrs: 102/160000 | Epoch: 1 | itr: 102/7500 | Loss_G: 234.34465
Tot_itrs: 103/160000 | Epoch: 1 | itr: 103/7500 | Loss_G: 200.65932
Tot_itrs: 104/160000 | Epoch: 1 | itr: 104/7500 | Loss_G: 251.83315
Tot_itrs: 105/160000 | Epoch: 1 | itr: 105/7500 | Loss_G: 278.25922
Tot_itrs: 106/160000 | Epoch: 1 | itr: 106/7500 | Loss_G: 233.85570
Tot_itrs: 107/160000 | Epoch: 1 | itr: 107/7500 | Loss_G: 210.60110
Tot_itrs: 108/160000 | Epoch: 1 | itr: 108/7500 | Loss_G: 247.37444
Tot_itrs: 109/160000 | Epoch: 1 | itr: 109/7500 | Loss_G: 244.73141
Tot_itrs: 110/160000 | Epoch: 1 | itr: 110/7500 | Loss_G: 170.94574
Tot_itrs: 111/160000 | Epoch: 1 | itr: 111/7500 | Loss_G: 269.63470
Tot_itrs: 112/160000 | Epoch: 1 | itr: 112/7500 | Loss_G: 189.78214
Tot_itrs: 113/160000 | Epoch: 1 | itr: 113/7500 | Loss_G: 263.56882
Tot_itrs: 114/160000 | Epoch: 1 | itr: 114/7500 | Loss_G: 354.31097
Tot_itrs: 115/160000 | Epoch: 1 | itr: 115/7500 | Loss_G: 204.34081
Tot_itrs: 116/160000 | Epoch: 1 | itr: 116/7500 | Loss_G: 197.68004
Tot_itrs: 117/160000 | Epoch: 1 | itr: 117/7500 | Loss_G: 213.40479
Tot_itrs: 118/160000 | Epoch: 1 | itr: 118/7500 | Loss_G: 208.09360
Tot_itrs: 119/160000 | Epoch: 1 | itr: 119/7500 | Loss_G: 265.97546
Tot_itrs: 120/160000 | Epoch: 1 | itr: 120/7500 | Loss_G: 209.01691
Tot_itrs: 121/160000 | Epoch: 1 | itr: 121/7500 | Loss_G: 210.81847
Tot_itrs: 122/160000 | Epoch: 1 | itr: 122/7500 | Loss_G: 258.71634
Tot_itrs: 123/160000 | Epoch: 1 | itr: 123/7500 | Loss_G: 201.47981
Tot_itrs: 124/160000 | Epoch: 1 | itr: 124/7500 | Loss_G: 187.41751
Tot_itrs: 125/160000 | Epoch: 1 | itr: 125/7500 | Loss_G: 162.39435
Tot_itrs: 126/160000 | Epoch: 1 | itr: 126/7500 | Loss_G: 306.82629
Tot_itrs: 127/160000 | Epoch: 1 | itr: 127/7500 | Loss_G: 271.34149
Tot_itrs: 128/160000 | Epoch: 1 | itr: 128/7500 | Loss_G: 345.35675
Tot_itrs: 129/160000 | Epoch: 1 | itr: 129/7500 | Loss_G: 209.96704
Tot_itrs: 130/160000 | Epoch: 1 | itr: 130/7500 | Loss_G: 192.41328
Tot_itrs: 131/160000 | Epoch: 1 | itr: 131/7500 | Loss_G: 248.61798
Tot_itrs: 132/160000 | Epoch: 1 | itr: 132/7500 | Loss_G: 174.91359
Tot_itrs: 133/160000 | Epoch: 1 | itr: 133/7500 | Loss_G: 248.97681
Tot_itrs: 134/160000 | Epoch: 1 | itr: 134/7500 | Loss_G: 220.17659
Tot_itrs: 135/160000 | Epoch: 1 | itr: 135/7500 | Loss_G: 286.72787
Tot_itrs: 136/160000 | Epoch: 1 | itr: 136/7500 | Loss_G: 220.25697
Tot_itrs: 137/160000 | Epoch: 1 | itr: 137/7500 | Loss_G: 172.27194
Tot_itrs: 138/160000 | Epoch: 1 | itr: 138/7500 | Loss_G: 173.36853
Tot_itrs: 139/160000 | Epoch: 1 | itr: 139/7500 | Loss_G: 222.63727
Tot_itrs: 140/160000 | Epoch: 1 | itr: 140/7500 | Loss_G: 214.18214
Tot_itrs: 141/160000 | Epoch: 1 | itr: 141/7500 | Loss_G: 184.92236
Tot_itrs: 142/160000 | Epoch: 1 | itr: 142/7500 | Loss_G: 150.67628
Tot_itrs: 143/160000 | Epoch: 1 | itr: 143/7500 | Loss_G: 219.29938
Tot_itrs: 144/160000 | Epoch: 1 | itr: 144/7500 | Loss_G: 318.97247
Tot_itrs: 145/160000 | Epoch: 1 | itr: 145/7500 | Loss_G: 259.16818
Tot_itrs: 146/160000 | Epoch: 1 | itr: 146/7500 | Loss_G: 245.35281
Tot_itrs: 147/160000 | Epoch: 1 | itr: 147/7500 | Loss_G: 182.44438
Tot_itrs: 148/160000 | Epoch: 1 | itr: 148/7500 | Loss_G: 175.77380
Tot_itrs: 149/160000 | Epoch: 1 | itr: 149/7500 | Loss_G: 161.66249
Tot_itrs: 150/160000 | Epoch: 1 | itr: 150/7500 | Loss_G: 213.91017
Tot_itrs: 151/160000 | Epoch: 1 | itr: 151/7500 | Loss_G: 248.91776
Tot_itrs: 152/160000 | Epoch: 1 | itr: 152/7500 | Loss_G: 327.72311
Tot_itrs: 153/160000 | Epoch: 1 | itr: 153/7500 | Loss_G: 226.06657
Tot_itrs: 154/160000 | Epoch: 1 | itr: 154/7500 | Loss_G: 302.93860
Tot_itrs: 155/160000 | Epoch: 1 | itr: 155/7500 | Loss_G: 190.96292
Tot_itrs: 156/160000 | Epoch: 1 | itr: 156/7500 | Loss_G: 207.05927
Tot_itrs: 157/160000 | Epoch: 1 | itr: 157/7500 | Loss_G: 172.41873
Tot_itrs: 158/160000 | Epoch: 1 | itr: 158/7500 | Loss_G: 386.95343
Tot_itrs: 159/160000 | Epoch: 1 | itr: 159/7500 | Loss_G: 260.44641
Tot_itrs: 160/160000 | Epoch: 1 | itr: 160/7500 | Loss_G: 257.19748
Tot_itrs: 161/160000 | Epoch: 1 | itr: 161/7500 | Loss_G: 171.45251
Tot_itrs: 162/160000 | Epoch: 1 | itr: 162/7500 | Loss_G: 356.53265
Tot_itrs: 163/160000 | Epoch: 1 | itr: 163/7500 | Loss_G: 285.92734
Tot_itrs: 164/160000 | Epoch: 1 | itr: 164/7500 | Loss_G: 140.20847
Tot_itrs: 165/160000 | Epoch: 1 | itr: 165/7500 | Loss_G: 411.65091
Tot_itrs: 166/160000 | Epoch: 1 | itr: 166/7500 | Loss_G: 218.02930
Tot_itrs: 167/160000 | Epoch: 1 | itr: 167/7500 | Loss_G: 289.75134
Tot_itrs: 168/160000 | Epoch: 1 | itr: 168/7500 | Loss_G: 339.20776
Tot_itrs: 169/160000 | Epoch: 1 | itr: 169/7500 | Loss_G: 155.98248
Tot_itrs: 170/160000 | Epoch: 1 | itr: 170/7500 | Loss_G: 175.52258
Tot_itrs: 171/160000 | Epoch: 1 | itr: 171/7500 | Loss_G: 172.24701
Tot_itrs: 172/160000 | Epoch: 1 | itr: 172/7500 | Loss_G: 165.86841
Tot_itrs: 173/160000 | Epoch: 1 | itr: 173/7500 | Loss_G: 284.35376
Tot_itrs: 174/160000 | Epoch: 1 | itr: 174/7500 | Loss_G: 235.28146
